"text","cmp_code","eu_code"
"2020 Democratic Party Platform",NA,NA
"The platform was considered by the 2020 Platform Committee at its meeting on July 27, 2020, and was approved by the Democratic National Convention on August 18, 2020.",NA,NA
"TABLE OF CONTENTS",NA,NA
"DEMOCRATIC NATIONAL CONVENTION LAND ACKNOWLEDGEMENT 4",NA,NA
"PREAMBLE 5",NA,NA
"PROTECTING AMERICANS AND RECOVERING FROM THE COVID-19 PANDEMIC 8",NA,NA
"BUILDING A STRONGER, FAIRER ECONOMY 13",NA,NA
"Protecting Workers and Families and Creating Millions of Jobs Across America 14",NA,NA
"Raising Wages and Promoting Workers’ Rights 14",NA,NA
"Enacting Robust Work-Family Policies 16",NA,NA
"Investing in the Engines of Job Creation 16",NA,NA
"Building A Fair System of International Trade for Our Workers 20",NA,NA
"Putting Homeownership in Reach and Guaranteeing Safe Housing for Every American 20",NA,NA
"Leveling the Economic Playing Field 22",NA,NA
"Reforming the Tax Code to Benefit Working Families 22",NA,NA
"Curbing Wall Street Abuses 23",NA,NA
"Ending Poverty 23",NA,NA
"Protecting Consumer Rights and Privacy 25",NA,NA
"Tackling Runaway Corporate Concentration 25",NA,NA
"Guaranteeing a Secure and Dignified Retirement 25",NA,NA
"ACHIEVING UNIVERSAL, AFFORDABLE, QUALITY HEALTH CARE 26",NA,NA
"Securing Universal Health Care",NA,NA
"Through a Public Option 28",NA,NA
"Bringing Down Drug Prices and Taking on the Pharmaceutical Industry 29",NA,NA
"Reducing Health Care Costs and Improving Health Care Quality 29",NA,NA
"Expanding Access to Mental Health and Substance Use Treatment 30",NA,NA
"Expanding Long-Term Care Services and Supports 30",NA,NA
"Eliminate Racial, Gender, and Geographic Health Inequities 31",NA,NA
"Protecting Native American Health 32",NA,NA
"Securing Reproductive Health, Rights, and Justice 32",NA,NA
"Protecting and Promoting Maternal Health 33",NA,NA
"Protecting LGBTQ+ Health 33",NA,NA
"Strengthening and Supporting the Health Care Workforce 33",NA,NA
"Investing in Health Science and Research 34",NA,NA
"PROTECTING COMMUNITIES AND BUILDING TRUST BY REFORMING OUR CRIMINAL JUSTICE",NA,NA
"SYSTEM 35",NA,NA
"HEALING THE SOUL OF AMERICA 39",NA,NA
"Protecting Americans’ Civil Rights 39",NA,NA
"Achieving Racial Justice and Equity 39",NA,NA
"Protecting Women’s Rights 42",NA,NA
"Protecting LGBTQ+ Rights 42",NA,NA
"Protecting Disability Rights 43",NA,NA
"Honoring Indigenous Tribal Nations 44",NA,NA
"Ending Violence Against Women 47",NA,NA
"Ending the Epidemic of Gun Violence 47",NA,NA
"Supporting Faith and Service 48",NA,NA
"Supporting Press Freedom 48",NA,NA
"Supporting the Arts and Culture 49",NA,NA
"COMBATING THE CLIMATE CRISIS AND PURSUING ENVIRONMENTAL JUSTICE 49",NA,NA
"RESTORING AND STRENGTHENING OUR DEMOCRACY 55",NA,NA
"Protecting and Enforcing Voting Rights 55",NA,NA
"Reforming the Broken Campaign Finance System 57",NA,NA
"Building an Effective, Transparent Federal Government 57",NA,NA
"Making Washington, D.C. the 51st State 58",NA,NA
"Guaranteeing Self-Determination for Puerto Rico 59",NA,NA
"Supporting the U.S. Territories 59",NA,NA
"Strengthening the U.S. Postal Service 60",NA,NA
"CREATING A 21ST CENTURY IMMIGRATION SYSTEM 61",NA,NA
