"text","cmp_code","eu_code"
"PROVIDING A WORLD-CLASS EDUCATION IN EVERY ZIP CODE 64",NA,NA
"Guaranteeing Universal Early Childhood Education 65",NA,NA
"Supporting High-Quality K-12 Schools Across America 66",NA,NA
"Making Higher Education Affordable and Accessible 69",NA,NA
"Providing Borrowers Relief from Crushing Student Debt 70",NA,NA
"RENEWING AMERICAN LEADERSHIP 72",NA,NA
"Revitalizing American Diplomacy 73",NA,NA
"Rebuilding America’s Tool of First Resort 73",NA,NA
"Reinventing Alliances 74",NA,NA
"International Institutions 74",NA,NA
"Foreign Assistance and Development 75",NA,NA
"Transforming Our Armed Forces for the 21st century 75",NA,NA
"Ending Forever Wars 75",NA,NA
"Securing our Competitive Edge 76",NA,NA
"Defense Spending 77",NA,NA
"Keeping Faith with Our Veterans and Military Families 77",NA,NA
"Civil-Military Relations 78",NA,NA
"Mobilizing the World to Address Transnational Challenges 78",NA,NA
"Global Health and Pandemics 78",NA,NA
"Climate Change 79",NA,NA
"Technology 80",NA,NA
"Nonproliferation 81",NA,NA
"Terrorism 81",NA,NA
"Democracy and Human Rights 82",NA,NA
"Advancing American Interests 85",NA,NA
"Global Economy and Trade 85",NA,NA
"Africa 86",NA,NA
"Americas 87",NA,NA
"Asia-Pacific 87",NA,NA
"Europe 89",NA,NA
"Middle East 90",NA,NA
"DEMOCRATIC NATIONAL CONVENTION LAND ACKNOWLEDGEMENT","H",NA
"The Democratic National Committee wishes to acknowledge that we gather together to state our values on lands that have been stewarded through many centuries by the ancestors and descendants of Tribal Nations who have been here since time immemorial.","607.3",NA
"We honor the communities native to this continent, and recognize that our country was built on Indigenous homelands.","607.3",NA
"We pay our respects to the millions of Indigenous people throughout history who have protected our lands, waters, and animals.","607.3",NA
"We respectfully acknowledge that we present this Platform at our 2020 Democratic National Convention on the lands of the Bad River Band of the Lake Superior Tribe of Chippewa Indians, the Forest County Potawatomi Community, the Ho-Chunk Nation, the Lac Courte Oreilles Band of Lake Superior Chippewa, the Lac du Flambeau Band of Lake Superior Chippewa, the Menominee Nation, the Oneida Nation of Wisconsin, the Red Cliff Band of Lake Superior Chippewa, the St. Croix Chippewa Indians of Wisconsin, the Sokaogon Chippewa Community, and the Stockbridge-Munsee Community, Band of Mohican Indians.","607.3",NA
"PREAMBLE","H",NA
"America is an idea—one that has endured and evolved through war and depression, prevailed over fascism and communism, and radiated hope to far distant corners of the earth.","601.1",NA
"Americans believe that diversity is our greatest strength.","607.1",NA
"That protest is among the highest forms of patriotism.","601.1",NA
"That our fates and fortunes are bound to rise and fall together.","601.1",NA
"That even when we fall short of our highest ideals, we never stop trying to build a more perfect union.","601.1",NA
"When the American people go to the polls this fall, we will be choosing more than a candidate.","202.1",NA
"Character is on the ballot in this election.","202.1",NA
"The character of our President, yes, but more than that: the character of our democracy, our society, and our leadership in the world.","601.1",NA
"The challenges before us—the worst public health crisis in a century, the worst economic downturn since the Great Depression, the worst period of global upheaval in a generation, the urgent global crisis posed by climate change, the intolerable racial injustice that still stains the fabric of our nation—will test America’s character like never before.","606.1",NA
"The COVID-19 pandemic has laid bare deep-seated problems in our society— the fragility of our economy","403",NA
"and social safety net,","504",NA
"the risks posed by growing inequality,","503",NA
"the impacts of racial and economic disparities on health and well-being,","503",NA
"and the profound consequences of deepening polarization and political paralysis.","602.1",NA
"The bill has come due on the Trump Administration’s hollowing out of our public institutions:","305.2",NA
"the sidelining of experts,","411",NA
"the rejection of science,","411",NA
"the underinvestment in research,","411",NA
"and the gross corruption and abuses of power.","304",NA
"President Trump’s dereliction of duty has caused the deaths of tens of thousands of Americans, the loss of tens of millions of American jobs, and lasting harm to our children’s education and future.","305.2",NA
"And it has revealed, at tragic economic and human cost, the emptiness of the Republican Party’s “America First” foreign policy.","305.1",NA
"Under President Trump, America stands alone.","305.2",NA
"Friends and foes alike neither admire nor fear President Trump’s leadership—they dismiss and ridicule it.","305.2",NA
"The Republican Party under President Trump has made America small—","305.1",NA
"when we are a people called to do the greatest things.","601.1",NA
"Democrats will fight to repair the soul of this nation.","305.1",NA
"To unite and to heal our country.","601.1",NA
"To turn this crisis into a crucible, from which we will forge a stronger, brighter, and more equitable future.","601.1",NA
"We must right the wrongs in our democracy,","202.1",NA
"redress the systemic injustices that have long plagued our society,","202.1",NA
"throw open the doors of opportunity for all Americans,","503",NA
"and reinvent our institutions at home","202.1",NA
"and our leadership abroad.","601.1",NA
"We do not simply aspire to return our country to where we were four years ago.","601.1",NA
"We know we must be bolder and more ambitious.","601.1",NA
"We must once again stop another Republican recession from becoming a second Great Depression.","414",NA
"President Trump and the Republican Party have rigged the economy in favor of the wealthiest few and the biggest corporations, and left working families and small businesses out in the cold.","403",NA
"Democrats will forge a new social and economic contract with the American people—a contract that creates millions of new jobs","701",NA
"and promotes shared prosperity,","503",NA
"closes racial gaps in income and wealth,","503",NA
"guarantees the right to join or form a union,","701",NA
"raises wages","701",NA
"and ensures equal pay for women","503",NA
"and paid family leave for all,","503",NA
"and safeguards a secure and dignified retirement.","504",NA
"We must guarantee health care not as a privilege for some, but as a right for every single American.","504",NA
"For a century, Democrats have fought to secure universal health care.","504",NA
"In the depths of the COVID-19 pandemic, President Trump and the Republican Party are trying to tear health care away from millions of people who depend on it for survival.","504",NA
"Democrats will not allow that to happen.","305.1",NA
"We will not rest until every American can access quality health care and affordable prescription drugs.","504",NA
"We must steel and strengthen our democracy, not distort and debase it.","202.1",NA
"Democrats believe there is nothing to fear from the voices and votes of the American people.","202.1",NA
"We will restore the full power of the Voting Rights Act and stamp out voter suppression in all its forms.","202.1",NA
"We will curb the corrupting influence of money in politics","304",NA
"and protect the integrity of our elections from all enemies, foreign and domestic.","202.1",NA
"We will never accept political gridlock as our fate.","305.1",NA
"We will never tire in our fight to deliver results and create opportunity for all Americans.","503",NA
"And we will end the war on government that has politicized our institutions, denigrated public service, and left the American people on their own instead of working to make them whole.","601.1",NA
"We must heal our nation’s deepest wounds, not fan the flames of hate.","601.1",NA
"Democrats will root out structural and systemic racism in our economy and our society,","503",NA
"and reform our criminal justice system from top to bottom, because we believe Black lives matter.","503",NA
"We will ensure that our nation continues to prize diversity and compassion,","607.1",NA
"and welcomes those who yearn to participate in our great democratic experiment by creating a humane, 21st century immigration system that benefits all Americans.","602.2",NA
"We will give hate no safe harbor.","503",NA
"We will never amplify or legitimize the voices of racism, misogyny, anti-Semitism, anti-Muslim bigotry, or white supremacy.","503",NA
"Democrats will protect and promote the equal rights of all our citizens—women, LGBTQ+ people, religious minorities, people with disabilities, Native Americans, and all who have been discriminated against in too many ways and for too many generations.","503",NA
"We commit ourselves to the vision articulated by Frederick Douglass of “a Government founded upon justice, and recognizing the equal rights of all.”","503",NA
"We must lead the world in taking on the climate crisis, not deny the science and accelerate the damage.","501",NA
"From Houston, Texas, to Mexico Beach, Florida; from San Juan, Puerto Rico, to Davenport, Iowa, the last four years have seen record-breaking storms, devastating wildfires, and historic floods.","501",NA
"Democrats will rejoin the Paris Climate Agreement","501",NA
"and go further, building a thriving, equitable, and globally competitive clean energy economy","416.2",NA
"that puts workers and communities first,","701",NA
"and leaves no one behind.","503",NA
"We must provide a world-class education in every ZIP code, to every child, because education is a critical public good.","506",NA
"Democrats believe in universal early childhood education,","506",NA
"and affordable, high-quality child care.","504",NA
"We will shut down the school-to-prison pipeline, and build a school-to-opportunity pipeline in its place.","506",NA
"We will make college affordable again,","506",NA
"and give Americans relief from crushing student debt.","409",NA
"We commit to a foreign policy that accelerates our domestic renewal, not undermines it.","601.1",NA
"We will focus on what matters most to Americans—more and better jobs,","701",NA
"greater security","605.1",NA
", a cleaner environment,","501",NA
"and a more inclusive and resilient society.","503",NA
"Democrats will lead with diplomacy as our tool of first resort","105",NA
"and mobilize our allies and partners to meet the tests none of us can meet on our own.","107",NA
"We will stand up to the forces of authoritarianism, not aid and abet their rise,","202.1",NA
"and we will speak and act with clarity and purpose on behalf of human rights wherever they are under threat.","201.2",NA
"And we will honor our sacred covenant with our women and men in uniform, our veterans, and our military families","104",NA
"who have carried the burdens of wars that must—at long last—come to an end.","105",NA
"Above all, Democrats still believe in the American idea—its principles, its purpose, and its promise.","601.1",NA
"We know that four more years of the crass, craven, corrupt leadership we have seen from Donald Trump and the Republican Party will damage our character and our country beyond repair.","601.1",NA
"We pray, as Langston Hughes did, “O, let America be America again—the land that never has been yet—and yet must be—the land where every man is free.”","201.1",NA
"Democrats call on all Americans to come together and seize this last, best chance to restore the soul of our nation","601.1",NA
"—and vote this November to ensure our greatest days are still to come.","601.1",NA
"PROTECTING AMERICANS AND RECOVERING FROM THE COVID-19 PANDEMIC","H",NA
"When we do not have competent, experienced, compassionate leaders in government, the American people suffer.","305.2",NA
"That is the case with the novel coronavirus.","305.2",NA
"President Trump and his Administration missed multiple opportunities to protect the American people from this deadly pathogen.","305.2",NA
"Instead of recognizing the danger and confronting it head-on, President Trump lied to the American people about the disease’s severity, its transmissibility, and the threat it posed to lives and livelihoods.","305.2",NA
"Make no mistake: President Trump’s abject failure to respond forcefully and capably to the COVID-19 pandemic—his failure to lead—makes him responsible for the deaths of tens of thousands of Americans.","305.2",NA
"COVID-19 has laid bare deep fault lines in our economy, our society, and our health care system.","602.1",NA
"Disparities in health care access, in access to paid sick leave, in environmental quality, in the employment market, and in housing have contributed to disproportionate rates of infection and death among Black Americans, Native Americans, Latinos, and certain Asian American and Pacific Islander communities.","503",NA
"President Trump’s failure to pay attention to early intelligence reports about the pandemic wasted critical weeks in which we could have prepared for the outbreak.","305.2",NA
"Once the pandemic began spreading in the United States, the President’s failure to lay out clear, consistent guidelines for cities, states, businesses, and school districts to control the spread of COVID-19 created widespread confusion and chaos.","305.2",NA
"His reckless disregard for the advice of public health experts has made it harder for mayors and governors to protect the American people.","305.2",NA
"Rather than surge the production of personal protective equipment and other critical supplies where they were needed most, the Administration held life-saving resources hostage for political obeisance.","305.2",NA
"Instead of bringing Americans together, President Trump tried to divide us, using racist and xenophobic rhetoric that has contributed to an increase in hate crimes against Asian Americans and Pacific Islanders.","503",NA
"And in the midst of the pandemic, the Trump Administration is arguing in court to invalidate the Affordable Care Act and rip health coverage away from tens of millions of people.","504",NA
"President Trump and his Administration have also failed to drive an economic response that is commensurate with the scale of the challenge before us,","409",NA
"preferring to act as though the recession caused by his incompetent mishandling of the COVID-19 pandemic will correct itself.","409",NA
"He has hung small businesses out to dry while cutting blank checks to the largest corporations;","403",NA
"failed to enact adequate support for public school systems, colleges, universities,","506",NA
"and state and local governments to maintain public services and jobs;","303",NA
"endangered the health of essential workers by failing to enact workplace safety standards;","701",NA
"and neglected to protect working families from economic ruin.","701",NA
"Democrats will save lives by using every available tool to beat back this pandemic, which continues to sicken and kill hundreds of Americans per day,","305.1",NA
"and lead a global effort to prevent, detect, and respond to future pandemic threats.","107",NA
"We must start by making COVID-19 testing widely available, convenient, and free to everyone.","504",NA
"We must also expand funding so state and local public health departments can hire sufficient staff to conduct contact tracing for everyone who tests positive for the novel coronavirus.","504",NA
"Only through widespread, regular testing and tracing can we hope to understand the scope of the pandemic and contain it.","504",NA
"In a public health crisis, we all have to rely on each other.","504",NA
"That’s why Democrats support making COVID-19 testing, treatment, and any eventual vaccines free to everyone, regardless of their wealth, insurance coverage, or immigration status.","504",NA
"We are all only as safe from this disease as are the most vulnerable among us.","504",NA
"It has always been a crisis that tens of millions of Americans have no or inadequate health insurance—but in a pandemic, it’s catastrophic for public health.","504",NA
"The current crisis would be even worse without the Affordable Care Act in place.","504",NA
"But in the COVID-19 pandemic, Americans need even more help, which is why Democrats will take immediate action to preserve and expand health insurance coverage.","504",NA
"We will provide direct, increased support to states to enroll eligible adults in Medicaid,","504",NA
"have the federal government cover a higher percentage of the bill,","504",NA
"and add incentives for states which have not yet expanded Medicaid to do so.","504",NA
"For people who risk losing their insurance coverage if they lose their jobs in this pandemic and in President Trump’s recession, Democrats believe the federal government should pick up 100 percent of the tab for COBRA insurance, which keeps people on their employer-sponsored plans, without restrictions.","504",NA
"We will re-open the Affordable Care Act marketplaces, even outside of the normal open enrollment season, and expand subsidies to make it easier for people to buy health coverage.","504",NA
"Democrats will also make available on the marketplace a public option administered through the Centers for Medicare and Medicaid Services (CMS) which includes a platinum-level choice, with low fees and no deductibles.","504",NA
"Low-income Americans will be automatically enrolled in the public option at zero cost to them, though they may choose to opt out at any time.","504",NA
"We will keep these emergency measures in place until the pandemic ends and unemployment falls significantly.","504",NA
"And should the United States find itself in another pandemic or severe economic downturn in the future, these protections will be made automatically available, so Americans are never again left to fend for themselves in times of crisis.","504",NA
"Democrats are appalled that President Trump failed to act on the advice of Congress to maintain a strong stockpile of critical medical supplies, including personal protective equipment,","504",NA
"or adequately surge U.S. manufacturing of needed equipment through tools like the Defense Production Act.","504",NA
"The resulting equipment shortages endangered millions of lives, including those of our brave frontline health care workers and other essential workers.","504",NA
"Such shortages are unacceptable and must never happen again.","504",NA
"Democrats will direct the federal government to work with private-sector manufacturers to dramatically scale up the United States’ domestic manufacturing capacity for both personal protective equipment and essential medicines.","504",NA
"We will restore federal leadership to ensure medical supplies are distributed according to need, not political favoritism,","504",NA
"and never put states in the position of having to compete against each other for life-saving materials.","504",NA
"Democrats will aggressively enforce non-discrimination protections in the Americans with Disabilities Act and other civil rights laws,","503",NA
"especially when designing emergency management systems and new facilities and services in response to the pandemic.","504",NA
"Democrats will prohibit unjustified segregation of patients with disabilities,","503",NA
"and additionally prohibit rationing of health care that refuses or diverts hospitalization, treatment, or supplies based on a patient’s disability.","503",NA
"We recognize people with disabilities living in group homes and other care facilities are at greater risk of contracting COVID-19,","503",NA
"and that people with disabilities may require additional resources to protect their health, well-being, and independence during the pandemic.","504",NA
"We will improve oversight and expand protections for residents and staff at nursing homes, which have seen some of the worst COVID-19 outbreaks.","504",NA
"And we will expand support for telemedicine, so Americans do not have to go without essential health care during the pandemic.","504",NA
"America must never again be left vulnerable to a global pandemic.","504",NA
"Democrats believe we must follow the informed advice of scientists and public health experts,","305.1",NA
"and will take steps to protect federal scientists from political influence.","304",NA
"Democrats will act swiftly to stand up a comprehensive, national public health surveillance program for COVID-19 and future infectious diseases.","504",NA
"We will recruit at least 100,000 contact tracers with support from trusted local organizations in the communities most at risk to help state and local health departments use culturally competent approaches to identify people at risk of contracting or spreading the coronavirus.","504",NA
"Democrats believe we must reverse decades of underinvestment in America’s public health infrastructure.","504",NA
"We will substantially increase funding for the Centers for Disease Control and Prevention (CDC)","504",NA
"and for state and local public health departments, many of which suffered deep budget cuts during the Great Recession and are at risk of further cuts as a result of President Trump’s recession.","504",NA
"State and local public health departments should be given sufficient resources to address pandemic diseases and other public health crises through coordinated efforts","504",NA
"that are inclusive of underrepresented groups who may be disproportionately impacted.","503",NA
"Democrats will support medical and public health research grants for Historically Black Colleges and Universities (HBCUs) and other Minority-Serving Institutions (MSIs), which are particularly well suited to research health disparities in the context of COVID-19.","506",NA
"Solving the public health crisis posed by the pandemic is the surest way to get the economy back on track.","408",NA
"Countries that have taken aggressive measures to address the COVID-19 pandemic and stop chains of infection from spreading are poised to have stronger, faster recoveries than the United States.","602.1",NA
"But containing the pandemic won’t be enough to repair the damage President Trump has done to our economy and to the American people—or to build back better.","601.1",NA
"During acute economic downturns, Democrats believe that we must take care of our workforce and aim to keep workers whole.","701",NA
"We will reform the current unemployment insurance system to enable more workers to remain attached to their jobs,","504",NA
"including by promoting payroll support and work-sharing programs with generous rates of wage replacement and requirements that employers maintain workers’ benefits.","701",NA
"For those workers who do lose their jobs, we will expand the unemployment insurance system to cover more workers, including independent contractors and gig, part-time, and tipped workers;","504",NA
"make sure platform companies and companies that misclassify employees as contractors pay in to support the system like other employers do","701",NA
"; and raise wage replacement rates, which are far too low in many states.","701",NA
"We will expand, not cut, nutrition assistance and food security programs that millions of Americans are relying on in this crisis.","504",NA
"Democrats will also make long-overdue investments to upgrade and modernize states’ unemployment system technology","303",NA
"and ensure the Department of Labor conducts strong oversight of state unemployment systems to make sure that unemployed workers can quickly and efficiently access the benefits they are owed.","303",NA
"To prevent President Trump’s recession from becoming a depression, Democrats believe we must act immediately to make ambitious investments that will support and create jobs.","701",NA
"We urgently need to support state and local governments, which are suffering severe budget shortfalls due to declines in tax revenues while being asked to shoulder the burden of COVID-related services and rising unemployment.","301",NA
"State and local budget cuts translate quickly into lost jobs in education, health care, and social services—all fields where we need to be adding jobs to meet the needs of the American people.","701",NA
"Democrats will extend significant aid to state and local governments,","301",NA
"school districts","506",NA
", and public and nonprofit colleges and universities, including HBCUs and MSIs,","506",NA
"to address these budget shortfalls","504",NA
"and secure jobs.","701",NA
"We will condition state and federal aid on maintaining and expanding public-sector employment, including provisions to protect workers’ rights.","701",NA
"In states and cities across the country, too many parents are being forced to choose between keeping their jobs and keeping their children safe.","603",NA
"Democrats believe that making child care affordable and widely available is essential to recovering from the COVID-19 pandemic.","504",NA
"We will provide funding to stabilize the sector and ensure child care and educational settings are able to meet the highest possible public health and worker safety standards to protect the health of care workers, children, parents, and the broader community.","504",NA
"The United States is facing an unprecedented housing crisis as a result of the COVID-19 pandemic and President Trump's recession, with millions of families at risk of being evicted.","504",NA
"We support state and local measures to freeze rent increases, evictions, utility shutoffs, and late fees for rent, to prevent families from becoming homeless and making the pandemic even worse.","504",NA
"The COVID-19 pandemic has hit small businesses especially hard.","403",NA
"Democrats support making significant, immediate grants and loans to help small businesses make payroll, pay rent and other expenses, and keep their doors open when possible.","402",NA
"Some estimates indicate as many as 40 percent of Black-owned small businesses may not survive President Trump’s recession, and small businesses owned by Asian Americans and Pacific Islanders and Latinos are also at risk.","503",NA
"Democrats will prioritize support for Black entrepreneurs and other entrepreneurs of color,","402",NA
"as well as women entrepreneurs","402",NA
", including by expanding funding for Community Development Financial Institutions (CDFIs) and other proven programs that invest in low-income communities and communities of color.","402",NA
"We will impose rigorous oversight on big corporations seeking financial assistance to weather the pandemic and President Trump’s recession,","403",NA
"to ensure that federal dollars support keeping workers on payroll, not enriching CEOs or shareholders.","403",NA
"Taxpayer money should not be used to pay out dividends, fund stock buybacks, or give raises to executives.","403",NA
"No one should have to choose between protecting their health and earning a living.","504",NA
"Paid sick leave is a necessity even under normal circumstances, but in a pandemic, it’s a matter of national security.","504",NA
"This is especially true for the Black, Latino, Asian American and Pacific Islander, Native American, and low-income workers who are less likely to be able to work from home.","503",NA
"We will immediately enact robust paid sick leave protections as part of the COVID-19 response for all workers in the economy, including contractors, gig workers, domestic workers, and the self-employed.","504",NA
"And Democrats will take immediate action to protect essential workers on the job where the Trump Administration has neglected them, from agriculture to meatpacking plants to manufacturing facilities to hospitals,","701",NA
"including by issuing and enforcing effective infectious disease workplace safety standards through the Occupational Safety and Health Administration.","701",NA
"As millions of Americans have stayed at home to prevent the spread of the pandemic, it is plain to see that in the 21st century, an accessible internet is not optional: it is a vital tool for receiving an education and for participating in the economy, and all Americans need access to high-speed, affordable broadband service.","411",NA
"Democrats will take action to prevent states from blocking municipalities and rural co-ops from building publicly-owned broadband networks,","411",NA
"and increase federal support for municipal broadband","411",NA
"while requiring that funding recipients adhere to policies that support good jobs and include strong protections for workers’ right to organize.","701",NA
"We will increase public investment in rural, urban, and Tribal broadband infrastructure,","411",NA
"offer low-income Americans subsidies for accessing high-speed internet","411",NA
", and invest in digital literacy training programs,","411",NA
"so children and families and people with disabilities can fully participate in school, work, and life from their homes.","503",NA
"And Democrats will restore the Federal Communications Commission's (FCC) clear authority to take strong enforcement action against broadband providers who violate net neutrality principles through blocking, throttling, paid prioritization, or other measures that create artificial scarcity and raise consumer prices for this vital service.","403",NA
"President Trump and his Administration have not only failed the American people, they have failed the world.","305.2",NA
"In past public health crises, including the Ebola epidemic, disciplined American diplomacy shaped and led a common global response, rallied public and private resources, accelerated research into treatments and vaccines, and directed global emergency aid.","107",NA
"In the COVID-19 pandemic, President Trump not only failed to lead, he actively sabotaged global efforts to slow the pandemic.","107",NA
"He refused to work with our partners to identify and coordinate manufacture of potential vaccines;","107",NA
"allegedly tried to poach exclusive rights to a vaccine candidate from our ally Germany;","107",NA
"cut CDC and State Department programs for early identification of infectious pathogens;","504",NA
"withdrew funding and support for the World Health Organization (WHO);","107",NA
"and tried to distract from his dereliction of duty by drawing from the authoritarian playbook he so admires","305.2",NA
"—using racist rhetoric to blame “outsiders” and stoke divisions at home.","503",NA
"Democrats will take the opposite tack by restoring American leadership,","305.1",NA
"driving a coordinated global health and economic response to the COVID-19 pandemic,","107",NA
"and ensuring that we’re far better prepared for future global health emergencies.","107",NA
"BUILDING A STRONGER, FAIRER ECONOMY","H",NA
"The economy is not working for the American people.","602.1",NA
"In a matter of weeks, the abject failure of President Trump and his Administration to competently respond to the COVID-19 pandemic erased all the job gains made since the Obama-Biden Administration pulled the country out of the Great Recession,","701",NA
"and plunged the economy into recession once more.","305.2",NA
"President Trump inherited the longest economic expansion in American history from the Obama-Biden Administration, and he squandered it.","305.2",NA
"Even before the COVID-19 pandemic, President Trump was presiding over a recession in the manufacturing sector,","305.2",NA
"after years of growth in the Obama-Biden Administration.","305.2",NA
"He had the audacity to pay for a permanent tax cut for big business by raising taxes on working families.","403",NA
"He launched a reckless trade war with China that cost more than 300,000 American jobs","104",NA
"and sent farmers into bankruptcy, decimating the American heartland.","703.1",NA
"He has left our communities vulnerable and exposed to the impacts of climate change,","501",NA
"let other countries outpace us in the clean energy revolution America should be leading","416.2",NA
", and completely failed to fulfill his campaign promise to the American people to invest in rebuilding and modernizing our nation’s crumbling infrastructure.","411",NA
"But our economy was rigged against working families and the middle class even before the novel coronavirus sickened millions and killed more than 150,000 Americans and counting.","704",NA
"Working families’ incomes have been largely stagnant for decades,","701",NA
"while the cost of basic needs—from housing to health care, higher education to child care—keep rising at precipitous rates.","416.2",NA
"Meanwhile, the rich have been capturing a larger and larger share of the economic pie, with incomes for the top one percent growing five times faster than those of the bottom 90 percent.","503",NA
"America bills itself as the land of opportunity, but intergenerational mobility has plummeted;","602.1",NA
"children born in the United States are less likely to move up the income ladder than those in Canada, Denmark, or the United Kingdom.","602.1",NA
"Women still earn just 82 cents to every dollar men earn, with even greater disparities for women of color.","503",NA
"Median incomes are lower and poverty rates are higher for Black Americans, Latinos, Native Americans, and certain Asian American and Pacific Islander communities, compared to median white households.","503",NA
"And there is a persistent, pernicious racial wealth gap that holds millions of Americans back, with the typical white household holding six times more wealth than the typical Latino family and 10 times more wealth than the typical Black family.","503",NA
"President Trump’s recession threatens to deepen existing inequities, as Black and Latino workers are less likely to work in jobs that can be done safely from home,","503",NA
"less likely to have savings to fall back on,","503",NA
"and less likely to be able to access unemployment insurance and other emergency programs electronically.","503",NA
"That’s bad for our economy,","416.2",NA
"bad for our democracy","202.1",NA
", and bad for the soul of our nation.","601.1",NA
"That is why Democrats commit to forging a new social and economic contract with the American people—","305.1",NA
"a contract that invests in the people and promotes shared prosperity , not one that benefits only big corporations and the wealthiest few.","503",NA
"One that affirms housing is a right and not a privilege,","504",NA
"and which makes a commitment that no one will be homeless or go hungry in the richest country on earth.","504",NA
"A new economic contract that raises wages","701",NA
"and restores workers’ rights to organize, join a union, and collectively bargain.","701",NA
"One that at last supports working families and the middle class by securing equal pay for women","503",NA
"and paid family leave for all.","503",NA
"A new economic contract that provides access for all to reliable and affordable banking and financial services.","503",NA
"A new social and economic contract that at last grapples honestly with America’s long and ongoing history of racism and disenfranchisement, of segregation and discrimination,","602.1",NA
"and invests instead in building equity and mobility for the people of color who have been left out and left behind for generations.","503",NA
"Democrats stand ready to take immediate, decisive action to pull the economy out of President Trump’s recession","305.1",NA
"by investing in infrastructure","411",NA
", care work,","701",NA
"clean energy,","501",NA
"and small businesses","402",NA
"to put Americans to work in good-paying jobs","701",NA
"; shoring up state and local budgets to save jobs","701",NA
"and protect public health in the ongoing COVID-19 pandemic;","504",NA
"and enacting fundamental reforms to address structural and systemic racism and entrenched income and wealth inequality in our economy and our banking system.","503",NA
"Protecting Workers and Families and Creating Millions of Jobs Across America","H",NA
"Americans deserve an economy that works for everyone—not just for the wealthy and the well-connected.","503",NA
"But our system has been rigged against the American people.","602.1",NA
"Democrats believe that it is a moral and an economic imperative that we support working families by rebuilding the American middle class for the 21st century,","704",NA
"making sure this time that everyone can make it and thrive, regardless of race, gender, sexual orientation, gender identity, disability status, national origin, age, or ZIP code.","503",NA
"Raising Wages and Promoting Workers’ Rights","H",NA
"Democrats will fight to raise wages for working people","701",NA
"and improve job quality and security,","701",NA
